code,domein,offerte_url,formulier_velden,telefoon_verplicht,email,screens,rolluiken,solar,montage,regio,opmerking
K,senft.nl,https://senft.nl/offerte-aanvragen/,"Offertepagina bestaat (Gravity Forms, velden field_1 t/m field_7 incl. bestand-upload), maar exacte labels niet uitleesbaar: site gaf herhaaldelijk 403 bij geautomatiseerd bezoek na de eerste load.",onbekend,info@senft.nl,ja,nee,nee,onbekend (online + montage volgens bron),landelijk,Bot-bescherming blokkeerde herhaald bezoek aan offertepagina; alleen structuur (geen labels) achterhaald
L,degalux.com,https://degalux.com/offerte,Geen los formulier: 'Offertemap' werkt via configurator ('stel je zonwering samen') die per product aan een offerteaanvraag wordt toegevoegd; daarna pas contactgegevens.,onbekend,verkoop@degalux.com,ja,ja,ja,"ja (""komen we gratis thuis inmeten"")","landelijk (""Montage in Nederland"")","Online+montage; offerte alleen bereikbaar via productconfigurator, geen simpel formulier"
M,ambiance-zonwering.nl,https://www.ambiance-zonwering.nl/contact/,"Dealerformulier: Aanhef, Naam*, E-mailadres*, Telefoonnummer*, Vestiging* (dropdown: kiest lokale dealer/vestiging + provincie), foto-upload (optioneel, 5x), recaptcha.",ja,,ja,ja,ja,"ja (dealerketen, montage via lokale vestiging)",landelijk via dealerketen (vestiging-dropdown incl. provincies),"Dealerketen: klant kiest eerst vestiging/provincie, lead gaat naar lokale dealer"
N,palszonwering.nl,https://palszonwering.nl/offerte-aanvragen/,"Offerteformulier (Gravity Forms): Naam, E-mailadres*, Telefoon (optioneel), Straat+huisnummer, Woonplaats, Foto's uploaden (optioneel), Bericht.",nee (optioneel),info@palszonwering.nl,ja,ja,ja,"ja (eigen monteurs, 'gratis advies en inmeten op locatie')","regionaal (vestiging Boskoop, Zuid-Holland - dicht bij Wassenaar/Den Haag)","Site blokkeert curl/normale bots (403); alleen met headless-browser bereikbaar. Regionaal bedrijf, valt binnen Zuid-Holland"
O,homedeal.nl,https://www.homedeal.nl/contact,"Alleen algemeen contactformulier gevonden: Naam*, E-mail*, Onderwerp*, Bericht*. De eigenlijke leadflow ('vergelijk offertes van vakspecialisten') loopt vermoedelijk via een aparte categorie-pagina/wizard die niet binnen de tijdslimiet is gevonden.",onbekend,,ja,ja,nee,"n.v.t. (aggregator, matcht met lokale vakspecialisten)",landelijk (aggregator),"Aggregator (homedeal.nl/casius.nl); daadwerkelijke offerte-wizard niet gevonden binnen tijdslimiet, alleen generiek contactformulier"
P,byzonbuitenzonwering.nl,https://www.byzonbuitenzonwering.nl/offertelijst/,"Geen los formulier: 'Offertelijst' is een winkelmandje-achtig systeem, je moet eerst producten toevoegen aan de offertelijst voordat er een formulier verschijnt. Niets toegevoegd dus leeg gezien.",onbekend,info@byzon.nl,ja,ja,ja,ja,"landelijk (webshop, vestiging Barneveld)","Online+montage; offerte-aanvraag alleen bereikbaar na productkeuze (offertelijst/mandje), niet als los formulier"
Q,megazonwering.nl,https://megazonwering.nl/contact/,"Volledig offerteformulier (Contact Form 7): Naam*, E-mailadres*, Telefoonnummer*, Woonplaats*, Product (dropdown met o.a. Rolluiken/Solar rolluiken/Screens/Solar screens), Vraag+maatvoering*, akkoord-checkbox.",ja,info@megazonwering.nl,ja,ja,ja (expliciet 'Solar rolluiken' en 'Solar screens' in dropdown),ja (online + montage),"landelijk (vestiging Cruquius, NH)","Sterk formulier: productdropdown bevat expliciet solar-varianten, telefoon+woonplaats verplicht"
R,voorraadscherm.nl,https://voorraadscherm.nl/overzicht-offerteaanvraag,Geen los formulier gevonden op deze URL na cookie-accept; pagina lijkt afhankelijk van eerder gekozen product/maatvoering (multi-stap flow via /producten). Titel bevestigt 'vrijblijvende aanvraag afronden'.,onbekend,info@voorraadscherm.nl,ja,nee,nee,"ja (""altijd incl. montage"")","landelijk (vestiging Heemskerk, NH)","DIY-webshop screens, altijd incl. montage volgens bron; offerteflow start bij productkeuze, niet bij deze URL direct"
S,screendirect.nl,https://www.screendirect.nl/support/contact.html,"Contactpagina is een supportportal (mogelijk Zendesk/helpdesk-stijl); alleen een login-achtig formulier (e-mail+wachtwoord) gedetecteerd, geen zichtbaar los contact/offerteformulier binnen tijdslimiet.",onbekend,info@screendirect.nl,ja,ja,ja,onbekend,landelijk (webshop),DIY-webshop screens; supportportal blokkeerde zicht op een eventueel los contactformulier
T,aluparts.nl,https://www.aluparts.nl/contact,"Contactformulier: Naam*, E-mail*, Woonplaats (optioneel), Ordernummer (optioneel), Telefoon (optioneel), Bericht*, bijlage-upload (optioneel), recaptcha, toestemmingscheckbox.",nee (optioneel),info@aluparts.nl,ja,ja,nee,onbekend (diy webshop),landelijk (webshop),DIY-webshop screens/rolluiken/onderdelen; telefoon en woonplaats beide optioneel
U,spiegelzonwering.nl,https://www.spiegelzonwering.nl/informatie/offerte-aanvragen/,"Uitgebreid configurator-offerteformulier: producttype*, aantal*, breedte*, hoogte, diepte/uitval, kleur, bediening, montage, montage-verdieping*, bericht, naam*, straat+huisnr*, postcode (optioneel), woonplaats*, e-mailadres*, telefoon (optioneel).",nee (optioneel),info@spiegelzonwering.nl,ja,ja,ja,ja (montage/montage-verdieping als velden in formulier),landelijk (vestiging Utrecht),"Zeer gedetailleerd formulier met maatvoering per product; telefoon en postcode beide optioneel, straat+woonplaats wel verplicht"
V,zandschulpzonwering.nl,https://zandschulpzonwering.nl/contact/,"Offerteformulier (Contact Form 7): 'Ik wil'-dropdown (afspraak/offerte/vraag/advies/storing)*, Naam*, E-mail*, Telefoonnummer*, Postcode*, Huisnummer*, Bericht*, foto (optioneel), akkoord privacy*.",ja,info@zandschulpzonwering.nl (site combineert ook info@jansenrolluiken.nl en info@vanewijkzonwering.nl - vermoedelijk samengevoegde/gefuseerde regionale merken),ja,ja,nee,ja,"waarschijnlijk regionaal (3 vestigingen/telefoonnummers op site: 024-, 0318-, 0320-netnummer -> Nijmegen/Betuwe/Noordoostpolder-regio; geen Zuid-Holland herkend)",Combinatie van 3 merken/vestigingen op 1 site; telefoon+postcode+huisnummer alle verplicht
W,zonwering-expert.nl,https://www.zonwering-expert.nl/zonwering-offerte/,"Aggregator-multistapformulier (Gravity Forms): stap 1 Postcode*/Woonplaats*/Straat*/Huisnummer*, stap 2 productkeuze (radio: Zonneschermen/Rolluiken/Screens/Markiezen/Shutters/Rol-en vouwgordijnen/Jaloezieën/Horren) + veel detailvragen (bediening, aantal, plaatsing, timing), stap 3 Voornaam*/Achternaam*/E-mailadres*/Telefoonnummer*.",ja,,ja,ja,nee,"n.v.t. (aggregator, matcht met vakspecialisten)",landelijk (aggregator),Vergelijk-aggregator ('tot 5 offertes'); adres EN telefoon verplicht; www.zonwering.kwieq.nl (X) en fegalux.nl (Z) redirecten (301) naar dit exacte domein/formulier - dus X en Z zijn dezelfde aanbieder als W
X,zonwering.kwieq.nl,,301-redirect naar https://www.zonwering-expert.nl/ - zelfde site/formulier als W.,zie W,,ja,ja,nee,nee,landelijk (aggregator),"Domein redirect (301) naar zonwering-expert.nl; behandel als duplicaat van W, geen apart onderzoek nodig"
Y,zonweringaanbiedingen.nl,https://www.zonweringaanbiedingen.nl/offerte-aanvragen/,"Offertepagina bestaat maar toont geen <form>-element binnen tijdslimiet (waarschijnlijk widget/iframe die later laadt, of postcode-eerst flow zoals bij W/AA). Er is ook een los pad /go/offerte/.",onbekend,,ja,ja,ja,onbekend,"landelijk (aggregator, 'Zonwering vergelijken')",Zelfde categorie als W/AA/O (vergelijk-aggregator); exacte formulierstructuur niet binnen tijdslimiet vastgesteld
Z,fegalux.nl,,301-redirect naar https://www.zonwering-expert.nl/ - zelfde site/formulier als W.,zie W,,ja,ja,nee,nee,landelijk (aggregator),"Domein redirect (301) naar zonwering-expert.nl; behandel als duplicaat van W, geen apart onderzoek nodig"
AA,rijkeezonwering.nl,https://www.rijkeezonwering.nl/offerte/,"Aggregator-multistapformulier (Gravity Forms, zelfde opzet als W): stap 1 Postcode*/Woonplaats*/Straat*/Huisnummer*, stap 2 uitgebreide productvragen (Zonneschermen/Rolluiken/Screens/Markiezen/Shutters/Rol-en vouwgordijnen/Jaloezieën/Horren + details), stap 3 Voornaam*/Achternaam*/E-mailadres*/Telefoonnummer*.",ja,,ja,ja,nee,n.v.t. (aggregator),landelijk (aggregator),Vergelijk-aggregator ('tot 4 offertes'); adres EN telefoon verplicht; structureel identiek aan W (waarschijnlijk zelfde formulierplatform/leadprovider)
